classification,days,avg_volume_usd,avg_trades,avg_pnl,avg_win_rate,avg_trade_size,avg_fees
Greed,193,1495246.0866321241,260.6373056994819,11140.566181093263,0.335985537160085,6735.295812914844,326.93622787133836
Extreme Greed,114,1091799.6892105262,350.8070175438597,23817.292198885963,0.4674238865175576,4410.524481610627,237.11110057149122
Fear,91,5311261.426263737,679.5274725274726,36891.81804002198,0.3291124444268537,6524.2949367587935,1016.0104249907121
Neutral,67,2690180.045970149,562.4776119402985,19297.323515671644,0.33188630490067184,7157.527121411409,587.6756463264298
Extreme Fear,14,8177447.245714285,1528.5714285714287,52793.589177857146,0.32734082697603883,4091.8043663217154,1706.3309956704927
